team,player,caps,club,birth
Norway,Martin Ødegaard,68,Arsenal,1998-12-17
Norway,Jørgen Strand Larsen,28,Crystal Palace,2000-02-06
Norway,Sander Tangvik,0,Hamburger SV,2002-11-29
Norway,Egil Selvik,7,Watford,1997-07-30
Norway,Fredrik Aursnes,22,Benfica,1995-12-10
Norway,Fredrik André Bjørkan,21,Bodø/Glimt,1998-08-21
Norway,Marcus Holmgren Pedersen,32,Torino,2000-07-16
Norway,Torbjørn Heggem,15,Bologna,1999-01-12
Norway,Kristian Thorstvedt,37,Sassuolo,1999-03-13
Norway,Thelo Aasgaard,8,Rangers,2002-05-02
Norway,Antonio Nusa,24,RB Leipzig,2005-04-17
Norway,Andreas Schjelderup,12,Benfica,2004-06-01
Norway,Oscar Bobb,20,Fulham,2003-07-12
Norway,Jens Petter Hauge,15,Bodø/Glimt,1999-10-12
Norway,Sondre Langås,3,Derby County,2001-02-02
Norway,Henrik Falchener,1,Viking,2003-05-08
Norway,Julian Ryerson,43,Borussia Dortmund,1997-11-17
Senegal,Yehvann Diouf,2,Nice,1999-11-16
Senegal,Mamadou Sarr,8,Chelsea,2005-08-29
Senegal,Kalidou Koulibaly,103,Al-Hilal,1991-06-20
Senegal,Abdoulaye Seck,22,Maccabi Haifa,1992-06-04
Senegal,Idrissa Gueye,131,Everton,1989-09-26
Senegal,Pathé Ciss,30,Rayo Vallecano,1994-03-16
Senegal,Assane Diao,5,Como,2005-09-07
Senegal,Lamine Camara,33,Monaco,2004-01-01
Senegal,Bamba Dieng,23,Lorient,2000-03-23
Senegal,Sadio Mané,128,Al-Nassr,1992-04-10
Senegal,Nicolas Jackson,33,Bayern Munich,2001-06-20
Senegal,Cherif Ndiaye,19,Samsunspor,1996-01-23
Senegal,Iliman Ndiaye,40,Everton,2000-03-06
Senegal,Ismail Jakobs,30,Galatasaray,1999-08-17
Senegal,Krépin Diatta,61,Monaco,1999-02-25
Senegal,Édouard Mendy,57,Al-Ahli,1992-03-01
Senegal,Pape Matar Sarr,40,Tottenham Hotspur,2002-09-14
Senegal,Ismaïla Sarr,83,Crystal Palace,1998-02-25
Senegal,Moussa Niakhaté,31,Lyon,1996-03-08
Senegal,Ibrahim Mbaye,11,Paris Saint-Germain,2008-01-24
Senegal,Habib Diarra,21,Sunderland,2004-01-03
Senegal,Bara Sapoko Ndiaye,1,Bayern Munich,2007-12-31
Senegal,Mory Diaw,5,Le Havre,1993-06-22
Senegal,Antoine Mendy,7,Nice,2004-05-27
Senegal,El Hadji Malick Diouf,20,West Ham United,2004-12-29
Senegal,Pape Gueye,41,Villarreal,1999-01-24
Algeria,Melvin Mastil,3,Stade Nyonnais,2000-02-19
Algeria,Aïssa Mandi,120,Lille,1991-10-22
Algeria,Achref Abada,9,USM Alger,1999-06-15
Algeria,Mohamed Amine Tougai,31,Espérance de Tunis,2000-01-22
Algeria,Zineddine Belaïd,13,JS Kabylie,1999-03-20
Algeria,Ramiz Zerrouki,54,Twente,1998-05-26
Algeria,Riyad Mahrez,117,Al-Ahli,1991-02-21
Algeria,Houssem Aouar,23,Al-Ittihad,1998-06-30
Algeria,Amine Gouiri,24,Marseille,2000-02-16
Algeria,Farès Chaïbi,32,Eintracht Frankfurt,2002-11-28
Algeria,Anis Hadj Moussa,16,Feyenoord,2002-02-11
Algeria,Nadhir Benbouali,5,Győri ETO,2000-04-17
Algeria,Jaouen Hadjam,19,Young Boys,2003-03-26
Algeria,Hicham Boudaoui,35,Nice,1999-09-23
Algeria,Rayan Aït-Nouri,31,Manchester City,2001-06-06
Algeria,Oussama Benbot,4,USM Alger,1994-10-11
Algeria,Rafik Belghali,14,Hellas Verona,2002-06-07
Algeria,Mohamed Amoura,48,VfL Wolfsburg,2000-05-09
Algeria,Nabil Bentaleb,62,Lille,1994-11-24
Algeria,Adil Boulbina,11,Al-Duhail,2003-05-02
Algeria,Ramy Bensebaini,82,Borussia Dortmund,1995-04-16
Algeria,Ibrahim Maza,18,Bayer Leverkusen,2005-11-24
Algeria,Luca Zidane,7,Granada,1998-05-13
Algeria,Yacine Titraoui,5,Charleroi,2003-07-26
Algeria,Farès Ghedjemis,1,Frosinone,2002-09-06
Algeria,Samir Chergui,6,Paris FC,1999-02-06
Argentina,Juan Musso,4,Atlético Madrid,1994-05-06
Argentina,Marcos Senesi,3,Bournemouth,1997-05-10
Argentina,Nicolás Tagliafico,76,Lyon,1992-08-31
Argentina,Gonzalo Montiel,39,River Plate,1997-01-01
Argentina,Leandro Paredes,77,Boca Juniors,1994-06-29
Argentina,Lisandro Martínez,28,Manchester United,1998-01-18
Argentina,Rodrigo De Paul,87,Inter Miami CF,1994-05-24
Argentina,Valentín Barco,4,Strasbourg,2004-07-23
Argentina,Julián Alvarez,51,Atlético Madrid,2000-01-31
Argentina,Lionel Messi,199,Inter Miami CF,1987-06-24
Argentina,Giovani Lo Celso,67,Real Betis,1996-04-09
Argentina,Gerónimo Rulli,8,Marseille,1992-05-20
Argentina,Cristian Romero,51,Tottenham Hotspur,1998-04-27
Argentina,Exequiel Palacios,40,Bayer Leverkusen,1998-10-05
Argentina,Nicolás González,51,Atlético Madrid,1998-04-06
Argentina,Thiago Almada,16,Atlético Madrid,2001-04-26
Argentina,Giuliano Simeone,13,Atlético Madrid,2002-12-18
Argentina,Nico Paz,9,Como,2004-09-08
Argentina,Nicolás Otamendi,132,Benfica,1988-02-12
Argentina,Alexis Mac Allister,46,Liverpool,1998-12-24
Argentina,José Manuel López,5,Palmeiras,2000-12-06
Argentina,Lautaro Martínez,77,Inter Milan,1997-08-22
Argentina,Emiliano Martínez,59,Aston Villa,1992-09-02
Argentina,Enzo Fernández,42,Chelsea,2001-01-17
Argentina,Facundo Medina,9,Marseille,1999-05-28
Argentina,Nahuel Molina,58,Atlético Madrid,1998-04-06
Austria,Alexander Schlager,26,Red Bull Salzburg,1996-02-01
Austria,David Affengruber,1,Elche,2001-03-19
Austria,Kevin Danso,32,Tottenham Hotspur,1998-09-19
Austria,Xaver Schlager,51,RB Leipzig,1997-09-28
Austria,Stefan Posch,52,Mainz 05,1997-05-14
Austria,Nicolas Seiwald,47,RB Leipzig,2001-05-04
Austria,Marko Arnautović,133,Red Star Belgrade,1989-04-19
Austria,David Alaba,113,Real Madrid,1992-06-24
Austria,Marcel Sabitzer,98,Borussia Dortmund,1994-03-17
Austria,Florian Grillitsch,58,Braga,1995-08-07
Austria,Michael Gregoritsch,75,FC Augsburg,1994-04-18
Austria,Florian Wiegele,1,Viktoria Plzeň,2001-03-21
Austria,Patrick Pentz,18,Brøndby,1997-01-02
Austria,Saša Kalajdžić,22,LASK,1997-07-07
Austria,Philipp Lienhart,41,SC Freiburg,1996-07-11
Austria,Phillipp Mwene,30,Mainz 05,1994-01-29
Austria,Carney Chukwuemeka,3,Borussia Dortmund,2003-10-20
Austria,Romano Schmid,34,Werder Bremen,2000-01-27
Austria,Dejan Ljubičić,9,Schalke 04,1997-10-08
Austria,Konrad Laimer,57,Bayern Munich,1997-05-27
Austria,Patrick Wimmer,30,VfL Wolfsburg,2001-05-30
Austria,Alexander Prass,19,TSG Hoffenheim,2001-05-26
Austria,Marco Friedl,11,Werder Bremen,1998-03-16
Austria,Paul Wanner,3,PSV Eindhoven,2005-12-23
Austria,Michael Svoboda,4,Venezia,1998-10-15
Austria,Alessandro Schöpf,35,Wolfsberger AC,1994-02-07
Jordan,Yazeed Abulaila,76,Al-Hussein,1993-01-08
Jordan,Mohammad Abu Hashish,56,Al-Karma,1995-05-09
Jordan,Abdallah Nasib,65,Al-Zawraa,1994-02-25
Jordan,Husam Abu Dahab,18,Al-Faisaly,2000-05-13
Jordan,Yazan Al-Arab,80,FC Seoul,1996-01-31
Jordan,Amer Jamous,19,Al-Zawraa,2002-07-03
Jordan,Mohammad Abu Zrayq,41,Raja Casablanca,1997-12-30
Jordan,Noor Al-Rawabdeh,68,Selangor,1997-02-24
Jordan,Ali Olwan,66,Al-Sailiya,2000-03-26
Jordan,Musa Al-Taamari,92,Rennes,1997-06-10
Jordan,Odeh Al-Fakhouri,10,Pyramids,2005-11-22
Jordan,Nour Bani Attiah,5,Al-Faisaly,1993-01-25
Jordan,Mahmoud Al-Mardi,89,Al-Hussein,1993-10-06
Jordan,Rajaei Ayed,72,Al-Hussein,1993-07-25
Jordan,Ibrahim Sadeh,57,Al-Karma,2000-04-27
Jordan,Mo Abualnadi,18,Selangor,2001-02-08
Jordan,Salim Obaid,11,Al-Hussein,1992-01-17
Jordan,Mohammad Taha,2,Al-Hussein,2005-07-13
Jordan,Saed Al-Rosan,21,Al-Hussein,1997-02-01
Jordan,Mohannad Abu Taha,29,Al-Quwa Al-Jawiya,2003-02-02
Jordan,Nizar Al-Rashdan,47,Qatar SC,1999-03-23
Jordan,Abdallah Al-Fakhouri,11,Al-Wehdat,2000-01-22
Jordan,Ihsan Haddad,92,Al-Hussein,1994-02-05
Jordan,Ali Azaizeh,4,Al-Shabab,2004-04-13
Jordan,Mohammad Al-Dawoud,13,Al-Wehdat,1992-04-12
Jordan,Anas Badawi,1,Al-Faisaly,1997-09-13
Colombia,David Ospina,130,Atlético Nacional,1988-08-31
Colombia,Daniel Muñoz,46,Crystal Palace,1996-05-26
Colombia,Jhon Lucumí,37,Bologna,1998-06-26
Colombia,Santiago Arias,68,Independiente,1992-01-13
Colombia,Kevin Castaño,25,River Plate,2000-09-29
Colombia,Richard Ríos,32,Benfica,2000-06-02
Colombia,Luis Díaz,74,Bayern Munich,1997-01-13
Colombia,Jorge Carrascal,24,Flamengo,1998-05-25
Colombia,Jhon Córdoba,21,Krasnodar,1993-05-11
Colombia,James Rodríguez,126,Minnesota United FC,1991-07-12
Colombia,Jhon Arias,38,Palmeiras,1997-09-21
Colombia,Camilo Vargas,42,Atlas,1989-03-09
Colombia,Yerry Mina,54,Cagliari,1994-09-23
Colombia,Gustavo Puerta,6,Racing Santander,2003-07-23
Colombia,Juan Portilla,10,Athletico Paranaense,1998-09-12
Colombia,Jefferson Lerma,65,Crystal Palace,1994-10-25
Colombia,Johan Mojica,45,Mallorca,1992-08-21
Colombia,Willer Ditta,5,Cruz Azul,1998-01-23
Colombia,Cucho Hernández,9,Real Betis,1999-04-20
Colombia,Juan Fernando Quintero,49,River Plate,1993-01-18
Colombia,Jaminton Campaz,10,Rosario Central,2000-05-24
Colombia,Deiver Machado,15,Nantes,1993-09-02
Colombia,Davinson Sánchez,79,Galatasaray,1996-06-12
Colombia,Álvaro Montero,12,Vélez Sarsfield,1995-03-29
Colombia,Luis Suárez,12,Sporting CP,1997-12-02
Colombia,Andrés Gómez,8,Vasco da Gama,2002-09-12
DR Congo,Lionel Mpasi,29,Le Havre,1994-08-01
DR Congo,Aaron Wan-Bissaka,12,West Ham United,1997-11-26
DR Congo,Steve Kapuadi,4,Widzew Łódź,1998-04-30
DR Congo,Axel Tuanzebe,14,Burnley,1997-11-14
DR Congo,Dylan Batubinsika,14,AEL,1996-02-15
DR Congo,Ngal'ayel Mukau,14,Lille,2004-11-03
DR Congo,Nathanaël Mbuku,19,Montpellier,2002-03-16
DR Congo,Samuel Moutoussamy,58,Atromitos,1996-08-12
DR Congo,Brian Cipenga,8,Castellón,1998-03-11
DR Congo,Théo Bongonda,38,Spartak Moscow,1995-11-20
DR Congo,Gaël Kakuta,31,AEL,1991-06-21
DR Congo,Joris Kayembe,26,Genk,1994-08-08
DR Congo,Meschak Elia,69,Alanyaspor,1997-08-06
DR Congo,Noah Sadiki,20,Sunderland,2004-12-17
DR Congo,Aaron Tshibola,17,Kilmarnock,1995-01-02
DR Congo,Timothy Fayulu,3,Noah,1999-07-24
DR Congo,Cédric Bakambu,70,Real Betis,1991-04-11
DR Congo,Charles Pickel,34,Espanyol,1997-05-15
DR Congo,Fiston Mayele,37,Pyramids,1994-06-24
DR Congo,Yoane Wissa,38,Newcastle United,1996-09-03
DR Congo,Matthieu Epolo,1,Standard Liège,2005-01-15
DR Congo,Chancel Mbemba,109,Lille,1994-08-08
DR Congo,Simon Banza,15,Al Jazira,1996-08-13
DR Congo,Gédéon Kalulu,28,Aris Limassol,1997-08-29
DR Congo,Edo Kayembe,43,Watford,1998-06-03
DR Congo,Arthur Masuaku,45,Lens,1993-11-07
Portugal,Diogo Costa,43,Porto,1999-09-19
Portugal,Nélson Semedo,50,Fenerbahçe,1993-11-16
Portugal,Rúben Dias,76,Manchester City,1997-05-14
Portugal,Tomás Araújo,5,Benfica,2002-05-16
Portugal,Diogo Dalot,35,Manchester United,1999-03-18
Portugal,Matheus Nunes,20,Manchester City,1998-08-27
Portugal,Cristiano Ronaldo,228,Al-Nassr,1985-02-05
Portugal,Bruno Fernandes,89,Manchester United,1994-09-08
Portugal,Gonçalo Ramos,25,Paris Saint-Germain,2001-06-20
Portugal,Bernardo Silva,109,Manchester City,1994-08-10
Portugal,João Félix,54,Al-Nassr,1999-11-10
Portugal,José Sá,5,Wolverhampton Wanderers,1993-01-17
Portugal,Renato Veiga,13,Villarreal,2003-07-29
Portugal,Gonçalo Inácio,22,Sporting CP,2001-08-25
Portugal,João Neves,22,Paris Saint-Germain,2004-09-27
Portugal,Francisco Trincão,18,Sporting CP,1999-12-29
Portugal,Rafael Leão,44,Milan,1999-06-10
Portugal,Pedro Neto,25,Chelsea,2000-03-09
Portugal,Gonçalo Guedes,34,Real Sociedad,1996-11-29
Portugal,João Cancelo,68,Barcelona,1994-05-27
Portugal,Rúben Neves,67,Al-Hilal,1997-03-13
Portugal,Rui Silva,3,Sporting CP,1994-02-07
Portugal,Vitinha,38,Paris Saint-Germain,2000-02-13
Portugal,Samú Costa,6,Mallorca,2000-11-27
Portugal,Nuno Mendes,44,Paris Saint-Germain,2002-06-19
Portugal,Francisco Conceição,17,Juventus,2002-12-14
Uzbekistan,Utkir Yusupov,40,Navbahor Namangan,1991-01-04
Uzbekistan,Abdukodir Khusanov,27,Manchester City,2004-02-29
Uzbekistan,Khojiakbar Alijonov,40,Pakhtakor,1997-04-19
Uzbekistan,Farrukh Sayfiev,46,Neftchi Fergana,1991-01-17
Uzbekistan,Rustam Ashurmatov,49,Esteghlal,1996-07-07
Uzbekistan,Akmal Mozgovoy,25,Pakhtakor,1999-04-02
Uzbekistan,Otabek Shukurov,84,Baniyas,1996-06-22
Uzbekistan,Jamshid Iskanderov,38,Neftchi Fergana,1993-10-16
Uzbekistan,Odiljon Hamrobekov,72,Tractor,1996-02-13
Uzbekistan,Jaloliddin Masharipov,74,Esteghlal,1993-09-01
Uzbekistan,Oston Urunov,42,Persepolis,2000-12-19
Uzbekistan,Abduvohid Nematov,8,Nasaf,2001-03-20
Uzbekistan,Sherzod Nasrullaev,31,Nasaf,1998-07-23
Uzbekistan,Eldor Shomurodov,92,İstanbul Başakşehir,1995-06-29
Uzbekistan,Umar Eshmurodov,29,Nasaf,1992-11-30
Uzbekistan,Botirali Ergashev,2,Neftchi Fergana,1995-06-23
Uzbekistan,Dostonbek Khamdamov,34,Pakhtakor,1996-07-24
Uzbekistan,Abdulla Abdullaev,17,Dibba,1997-09-01
Uzbekistan,Azizjon Ganiev,19,Al Bataeh,1998-02-22
Uzbekistan,Azizbek Amonov,12,Dinamo Samarqand,1997-10-30
Uzbekistan,Igor Sergeev,83,Persepolis,1993-04-30
Uzbekistan,Abbosbek Fayzullaev,32,İstanbul Başakşehir,2003-10-03
Uzbekistan,Sherzod Esanov,1,Bukhara,2003-02-01
Uzbekistan,Bekhruz Karimov,2,Surkhon Termiz,2007-08-07
Uzbekistan,Avazbek Ulmasaliev,0,AGMK,2000-03-27
Uzbekistan,Jakhongir Urozov,4,Dinamo Samarqand,2004-01-18
Croatia,Dominik Livaković,75,Dinamo Zagreb,1995-01-09
Croatia,Josip Stanišić,31,Bayern Munich,2000-04-02
Croatia,Marin Pongračić,20,Fiorentina,1997-09-11
Croatia,Joško Gvardiol,48,Manchester City,2002-01-23
Croatia,Duje Ćaleta-Car,38,Real Sociedad,1996-09-17
Croatia,Josip Šutalo,33,Ajax,2000-02-28
Croatia,Nikola Moro,10,Bologna,1998-03-12
Croatia,Mateo Kovačić,113,Manchester City,1994-05-06
Croatia,Andrej Kramarić,116,TSG Hoffenheim,1991-06-19
Croatia,Luka Modrić,198,Milan,1985-09-09
Croatia,Ante Budimir,38,Osasuna,1991-07-22
Croatia,Ivor Pandur,0,Hull City,2000-03-25
Croatia,Nikola Vlašić,63,Torino,1997-10-04
Croatia,Ivan Perišić,154,PSV Eindhoven,1989-02-02
Croatia,Mario Pašalić,85,Atalanta,1995-02-09
Croatia,Martin Baturina,19,Como,2003-02-16
Croatia,Petar Sučić,17,Inter Milan,2003-10-25
Croatia,Kristijan Jakić,17,FC Augsburg,1997-05-14
Croatia,Toni Fruk,7,Rijeka,2001-03-09
Croatia,Igor Matanović,9,SC Freiburg,2003-03-31
Croatia,Luka Sučić,21,Real Sociedad,2002-09-08
Croatia,Luka Vušković,5,Hamburger SV,2007-02-24
Croatia,Dominik Kotarski,4,Copenhagen,2000-02-10
Croatia,Marco Pašalić,15,Orlando City SC,2000-09-14
Croatia,Martin Erlić,13,Midtjylland,1998-01-24
Croatia,Petar Musa,11,FC Dallas,1998-03-04
England,Jordan Pickford,84,Everton,1994-03-07
England,Ezri Konsa,20,Aston Villa,1997-10-23
England,Nico O'Reilly,5,Manchester City,2005-03-21
England,Declan Rice,73,Arsenal,1999-01-14
England,John Stones,89,Manchester City,1994-05-28
England,Marc Guéhi,29,Manchester City,2000-07-13
England,Bukayo Saka,49,Arsenal,2001-09-05
England,Elliot Anderson,9,Nottingham Forest,2002-11-06
England,Harry Kane,114,Bayern Munich,1993-07-28
England,Jude Bellingham,48,Real Madrid,2003-06-29
England,Marcus Rashford,72,Barcelona,1997-10-31
England,Tino Livramento,6,Newcastle United,2002-11-12
England,Dean Henderson,5,Crystal Palace,1997-03-12
England,Jordan Henderson,90,Brentford,1990-06-17
England,Dan Burn,8,Newcastle United,1992-05-09
England,Kobbie Mainoo,14,Manchester United,2005-04-19
England,Morgan Rogers,15,Aston Villa,2002-07-26
England,Anthony Gordon,19,Newcastle United,2001-02-24
England,Ollie Watkins,22,Aston Villa,1995-12-30
England,Noni Madueke,11,Arsenal,2002-03-10
England,Eberechi Eze,17,Arsenal,1998-06-29
England,Ivan Toney,8,Al-Ahli,1996-03-16
England,James Trafford,2,Manchester City,2002-10-10
England,Reece James,24,Chelsea,1999-12-08
England,Djed Spence,6,Tottenham Hotspur,2000-08-09
England,Jarell Quansah,3,Bayer Leverkusen,2003-01-29
Ghana,Lawrence Ati-Zigi,29,St. Gallen,1996-11-29
Ghana,Alidu Seidu,24,Rennes,2000-06-04
Ghana,Caleb Yirenkyi,11,Nordsjælland,2006-01-15
Ghana,Jonas Adjetey,10,VfL Wolfsburg,2003-12-13
Ghana,Thomas Partey,57,Villarreal,1993-06-13
Ghana,Abdul Mumin,5,Rayo Vallecano,1998-06-06
Ghana,Abdul Fatawu,28,Leicester City,2004-03-08
Ghana,Kwasi Sibo,8,Oviedo,1998-06-24
Ghana,Jordan Ayew,120,Leicester City,1991-09-11
Ghana,Brandon Thomas-Asante,8,Coventry City,1998-12-29
Ghana,Antoine Semenyo,34,Manchester City,2000-01-07
Ghana,Joseph Anang,1,St Patrick's Athletic,2000-06-08
Ghana,Christopher Bonsu Baah,9,Al-Qadsiah,2004-12-14
Ghana,Gideon Mensah,40,Auxerre,1998-07-18
Ghana,Elisha Owusu,20,Auxerre,1997-11-07
Ghana,Benjamin Asare,11,Hearts of Oak,1992-07-13
Ghana,Abdul Rahman Baba,51,PAOK,1994-07-02
Ghana,Jerome Opoku,11,İstanbul Başakşehir,1998-10-14
Ghana,Iñaki Williams,26,Athletic Bilbao,1994-06-15
Ghana,Augustine Boakye,0,Saint-Étienne,2000-11-03
Ghana,Kojo Peprah Oppong,4,Nice,2004-06-04
Ghana,Kamaldeen Sulemana,28,Atalanta,2002-02-15
Ghana,Derrick Luckassen,1,Pafos,1995-07-03
Ghana,Ernest Nuamah,18,Lyon,2003-11-01
Ghana,Prince Kwabena Adu,5,Viktoria Plzeň,2003-09-23
Ghana,Marvin Senaya,2,Auxerre,2001-01-28
Panama,Luis Mejía,56,Nacional,1991-03-16
Panama,César Blackman,40,Slovan Bratislava,1998-04-02
Panama,José Córdoba,32,Norwich City,2001-06-03
Panama,Fidel Escobar,99,Saprissa,1995-01-09
Panama,Edgardo Fariña,18,Pari Nizhny Novgorod,2001-10-19
Panama,Cristian Martínez,66,Ironi Kiryat Shmona,1997-02-06
Panama,José Luis Rodríguez,70,Juárez,1998-06-19
Panama,Adalberto Carrasquilla,73,UNAM,1998-11-28
Panama,Tomás Rodríguez,13,Saprissa,1999-03-09
Panama,Ismael Díaz,57,León,1997-05-12
Panama,Yoel Bárcenas,104,Mazatlán,1993-10-23
Panama,César Samudio,5,Marathón,1994-02-23
Panama,Jiovany Ramos,23,Puerto Cabello,1997-01-26
Panama,Carlos Harvey,28,Minnesota United FC,2000-02-03
Panama,Eric Davis,107,Plaza Amador,1991-03-31
Panama,Andrés Andrade,50,LASK,1998-10-16
Panama,José Fajardo,68,Universidad Católica,1993-08-18
Panama,Cecilio Waterman,55,Universidad de Concepción,1991-04-13
Panama,Alberto Quintero,141,Plaza Amador,1987-12-18
Panama,Aníbal Godoy,159,San Diego FC,1990-02-10
Panama,César Yanis,56,Cobresal,1996-01-28
Panama,Orlando Mosquera,48,Al-Fayha,1994-12-25
Panama,Michael Amir Murillo,94,Beşiktaş,1996-02-11
Panama,Azarias Londoño,11,Universidad Católica,2001-06-21
Panama,Roderick Miller,50,Turan Tovuz,1992-04-03
Panama,Jorge Gutiérrez,18,Deportivo La Guaira,1998-09-01
